old	new	old_len	new_len
__GATHERING_CLUSTERED_STRATEGY__	GTHRN_CLSTR_STRTG	32	17
__MGF_FACE_WITH_HOLES_GEOMETRY__	MGF_FACE_WITH_HLS_GMTRY	32	23
__PHOTON_MAP_IMPORTANCE_OPTION__	PHTN_MAP_IMPRT_OPTN	32	19
__STOCHASTIC_RADIOSITY_ELEMENT__	STCHS_RDSTY_ELMNT	32	17
__STOCHASTIC_RAYTRACER_OPTIONS__	STCHS_RYTRC_OPTNS	32	17
__STOCHASTIC_RAYTRACING_METHOD__	STCHS_RYTRC_MTHD	32	16
commandLineParseBackgroundOption	cmmndLineParseBgOpt	32	19
computeColorConversionTransforms	cmptClrConvXforms	32	17
computeOneLightImportanceVirtual	cmptOneLightImpVrtl	32	19
computeRegularFilterCoefficients	cmptRegFiltCoeff	32	16
drawSecondarySelectedPatchMarker	drawSecSelPtchMark	32	18
fileOptionsForceOneSidedSurfaces	fileOptsFrcOneSddSrfcs	32	22
hierarchicRefinementColorToError	hierRefClrTErrr	32	15
inNumberOfBasisFunctionsOnSource	iNumOBasisFnctnOSrc	32	19
initialControlRadiosityRecursive	initCtrlRadRec	32	14
monteCarloRadiosityCreateCluster	mntCarloRadCreateClust	32	22
monteCarloRadiosityInstallNormal	mntCarloRadInstNorm	32	19
monteCarloRadiosityInstallVertex	mntCarloRadInstVtx	32	18
monteCarloRadiosityUpdateCpuSecs	mntCarloRadUpdCpuSecs	32	21
numberOfBasisFunctionsOnReceiver	nmbrOBasisFnctnORecv	32	20
openGlMissingToneMapWarningShown	openGlMssngToneMapWrnngShwn	32	27
randomWalkRadiosityShootingScore	rndmWalkRadShootScr	32	19
sceneBuilderPatchAccumulateStats	sceneBldPtchAccumStats	32	22
sceneBuilderValidateReadableFile	sceneBldValReadFile	32	19
stochasticJacobiElementShootRays	stchsJacElemShtRays	32	19
stochasticJacobiInitPushRayIndex	stchsJacInitPushRayIndx	32	23
